ticker,company_name,sector,industry,fiscal_year_end,COGS_to_Revenue,Gross_Margin,SGA_to_Revenue,Net_Margin,Cash_to_Assets,Receivables_to_Assets,Inventory_to_Assets,PPE_to_Assets,Debt_to_Assets,Equity_to_Assets
CRM,Salesforce Inc,Technology,Application Software,2026-01-31,0.22323901264298615,0.7767609873570138,0.3937387116195063,0.179578567128236,0.06524197497885223,0.1276790881973198,0.06208107489121307,0.045616846979208404,0.15294065268687948,0.5266194737545078
CRM,Salesforce Inc,Technology,Application Software,2025-01-31,0.22807758279456392,0.7719224172054361,0.4008972159915556,0.16353080881382767,0.08596300326441784,0.1160519975128245,0.06208107489121307,0.05239584952588217,0.11067930980879838,0.5943280739934712
CRM,Salesforce Inc,Technology,Application Software,2024-01-31,0.2450296927446424,0.7549703072553576,0.41655908425854205,0.11865622400091803,0.08487022028991315,0.11434238602326117,0.06208107489121307,0.06065736353345422,0.12610320266872363,0.5975176061629084
CRM,Salesforce Inc,Technology,Application Software,2023-01-31,0.2666496555243685,0.7333503444756315,0.5128540443990814,0.006634345496300076,0.07097694463272264,0.10880231464152394,0.06208107489121307,0.06668757397646916,0.142520409918158,0.5903853352082469
ORCL,Oracle Corp,Technology,Application Software,2025-05-31,0.29490060802453005,0.70509939197547,0.17862680534504086,0.21678078015296434,0.06406471807603899,0.05083124951740605,0.06208107489121307,0.2585040478495614,0.6183379761346155,0.1245478465915503
ORCL,Oracle Corp,Technology,Application Software,2024-05-31,0.2859273805252922,0.7140726194747078,0.18545722323974245,0.19763599629916354,0.07415446600839859,0.055853478606287595,0.06208107489121307,0.15276359096583816,0.6605663375326297,0.06553597775507888
ORCL,Oracle Corp,Technology,Application Software,2023-05-31,0.271529807422829,0.728470192577171,0.2084317572166393,0.17021659927132962,0.07266490058340279,0.051457018692701514,0.06208107489121307,0.12701660912013335,0.6733018811763305,0.011578759376116205
ORCL,Oracle Corp,Technology,Application Software,2022-05-31,0.20916588124410934,0.7908341187558907,0.22064090480678605,0.15827049952874647,0.19564123443461395,0.05446627080340723,0.06208107489121307,0.08889539511605991,0.6940629660466435,-0.052773635140946226
CSCO,Cisco Systems,Technology,Communications Equipment,2025-07-31,0.3506195502524094,0.6493804497475907,0.24637271860768878,0.17968722420305716,0.06824705006909748,0.07982598882992208,0.02587271344579732,0.017278458758207882,0.22972254703943873,0.38304535902069653
CSCO,Cisco Systems,Technology,Communications Equipment,2024-07-31,0.3526755013660948,0.6473244986339052,0.24491199375499506,0.1918108655651172,0.06034739134977856,0.08056232065780908,0.02711131473399082,0.016798887576057166,0.2489530836809658,0.36537178590661745
CSCO,Cisco Systems,Technology,Communications Equipment,2023-07-31,0.37273237657461666,0.6272676234253833,0.21681462507456403,0.2212884662619741,0.09938930997918549,0.09038605034756313,0.035777402505596356,0.020470879315084633,0.08238424380473629,0.4354651847779131
CSCO,Cisco Systems,Technology,Communications Equipment,2022-07-31,0.3745175242935004,0.6254824757064996,0.2169637488604845,0.22910565005721822,0.07530690836365184,0.1119869790004468,0.027318567690049148,0.02124422884619476,0.10122125061168911,0.4231080189783196
INTC,Intel Corp,Technology,Semiconductors,2025-12-31,0.6523376156509564,0.34766238434904356,0.0874879382438083,-0.005051747299112633,0.06746945783218007,0.018157395626900757,0.05494988861509065,0.49857871909719104,0.22033401283646048,0.5976474372011408
INTC,Intel Corp,Technology,Semiconductors,2024-12-31,0.6733583171691682,0.32664168283083184,0.10370802809739929,-0.35321368712453627,0.04198284856350357,0.017701096775835305,0.06208107489121307,0.549248034201084,0.25452833549634835,0.5345548006209125
INTC,Intel Corp,Technology,Semiconductors,2023-12-31,0.599634874972339,0.400365125027661,0.10389466696171719,0.031146271298959947,0.03695216419936108,0.017758336291316058,0.05808260079761134,0.5044943937527405,0.257167018144614,0.5740139477585451
INTC,Intel Corp,Technology,Semiconductors,2022-12-31,0.5739207663272751,0.426079233672725,0.11104767342278048,0.1270974085704317,0.06119613625256037,0.022695946799338836,0.07261824352152353,0.4440344200809432,0.23067714425352684,0.5671845054721778
AMD,AMD Inc,Technology,Semiconductors,2025-12-31,0.504835589941973,0.4951644100580271,0.11963393862409423,0.12514795461762754,0.07200426383797416,0.08209188050854067,0.1029560876686686,0.030054857915399216,0.05000909965421314,0.8189558796765722
AMD,AMD Inc,Technology,Semiconductors,2024-12-31,0.5064960248206322,0.49350397517936784,0.10606942020554586,0.06364165212332752,0.054704879669488345,0.089446161846705,0.08283015052148036,0.02603068211365672,0.031953312339294486,0.8315950654378412
AMD,AMD Inc,Technology,Semiconductors,2023-12-31,0.5388007054673721,0.46119929453262787,0.10220458553791888,0.037654320987654324,0.05793621565883479,0.079325329601532,0.06409368785445975,0.032731825882006335,0.04423657656330559,0.8233335788465788
AMD,AMD Inc,Technology,Semiconductors,2022-12-31,0.5507393754501928,0.4492606245498072,0.09897885682810051,0.055929833481632135,0.07154483575022196,0.06108316069843149,0.05580053270198283,0.02919502811482687,0.042364604912696065,0.81015093222847
TXN,Texas Instruments,Technology,Semiconductors,2025-12-31,0.42975907702748556,0.5702409229725144,0.10519172039362062,0.2828299966067187,0.09324851814370391,0.056758710423594046,0.13890414919762903,0.3562237964435449,0.40618765360705505,0.4705219025589128
TXN,Texas Instruments,Technology,Semiconductors,2024-12-31,0.41857937472028645,0.5814206252797136,0.11469854868614539,0.3068218144619909,0.09011799825396379,0.04841026218705117,0.1274888056549044,0.3195527894336647,0.38288884508152865,0.47602016390210933
TXN,Texas Instruments,Technology,Semiconductors,2023-12-31,0.37102574347850903,0.628974256521491,0.10417261259204293,0.37159655231462985,0.09162853963150736,0.05524298256460987,0.12362433535303574,0.30910720910102635,0.3469457153456164,0.5223506862866328
TXN,Texas Instruments,Technology,Semiconductors,2022-12-31,0.3124126223287398,0.6875873776712602,0.08508088675853805,0.43683842620331537,0.11210350277502114,0.06965119270775903,0.1013342154592568,0.25272907707575254,0.3210570808982982,0.5357812327709781
QCOM,Qualcomm Inc,Technology,Semiconductors,2025-09-30,0.44571402763977963,0.5542859723602204,0.07022852497516033,0.1251241983560654,0.11008515645254571,0.08605388588636499,0.13014777735675967,0.09353249705841293,0.29537522685120554,0.4229104760385298
QCOM,Qualcomm Inc,Technology,Semiconductors,2024-09-30,0.4378625327241928,0.5621374672758072,0.0708125866228633,0.26030491247882553,0.14231062116981544,0.07123690031548029,0.11645574210392719,0.08458135402690647,0.2653298038220256,0.4763752402364289
QCOM,Qualcomm Inc,Technology,Semiconductors,2023-09-30,0.44302065884980457,0.5569793411501954,0.06931881630374093,0.20189838079285316,0.1655564263322884,0.0623628526645768,0.1258228840125392,0.09878526645768025,0.3016849529780564,0.42282523510971787
QCOM,Qualcomm Inc,Technology,Semiconductors,2022-09-30,0.42160633484162896,0.5783936651583711,0.0581447963800905,0.29266968325791853,0.05657567225690619,0.11513037091443261,0.12937120006528746,0.10543926225160158,0.31586893540621047,0.3675072428285796
IBM,IBM Corp,Technology,IT Consulting,2025-12-31,0.41813255152807394,0.5818674484719261,0.2686122956645345,0.15684968017057568,0.08945878324993416,0.10869107189886752,0.008032657361074532,0.05944166447195154,0.42538188043191993,0.21557150381880433
IBM,IBM Corp,Technology,IT Consulting,2024-12-31,0.43346134846142814,0.566522716045448,0.28540468184787976,0.0959794750848565,0.10167304537998907,0.10213231273920174,0.00939675596865318,0.06509203572079461,0.4257043921997449,0.1996938217605249
IBM,IBM Corp,Technology,IT Consulting,2023-12-31,0.4455221467830585,0.5544778532169414,0.3071936631102489,0.12127384416424183,0.09662750201492151,0.10319355816653233,0.008584674765788482,0.06449227675039375,0.4431718191968412,0.16720521143735997
IBM,IBM Corp,Technology,IT Consulting,2022-12-31,0.45997026267966296,0.5400132165868164,0.30743433008425575,0.027094002973732035,0.06197590437194973,0.11166822536406718,0.012197134616442555,0.06453793135968187,0.42448700517906685,0.1730625653277587
NOW,ServiceNow Inc,Technology,Application Software,2025-12-31,0.22465732791082996,0.7753426720891701,0.41504744690465434,0.13164633227895767,0.1430985482755972,0.10089100545356786,0.06208107489121307,0.1188647361548506,0.09228819417774023,0.49788770258852444
NOW,ServiceNow Inc,Technology,Application Software,2024-12-31,0.20821194464675893,0.791788055353241,0.4360888565185725,0.12973415877640204,0.1130353726144336,0.10989550115292156,0.06208107489121307,0.1204925673355247,0.11175979983319433,0.4714222636510818
